"","UNIT_ID","OPE_ID","OPE_ID6","INST","City","State","Zip_Code","Accreditor","URL_main","URL_net_price","Enroll_White","Enroll_Black","Enroll_Hisp","Enroll_Asian","Enroll_AmericanIndian","Enroll_PacificIslander","Enroll_2orMore","Enroll_nonRes","Enroll_Unknown","Enroll_Men","Enroll_Women","Avg_Age","Avg_Fam_Inc","Med_Fam_Inc","Grad_Rate","Grad_Rate_White","Grad_Rate_Black","Grad_Rate_Hisp","Grad_Rate_Asian","Grad_Rate_AmericanIndian","Grad_Rate_PacificIslander","Grad_Rate_2orMore","Grad_Rate_nonRes","Grad_Rate_Unkown","Total_enroll","Region"
"193","108232"," 753100"," 7531","Academy of Art University","San Francisco","CA","94105","Western Association of Schools and Colleges Senior Colleges and University Commission","www.academyart.edu","https://npc.collegeboard.org/student/app/academyart","0.2392","0.0685","0.1141","0.0804","0.0051","0.0058","0.0249","0.2523","0.2098","0.4342","0.5658","25.459814695","40590.29963","24517.98257","0.3111","0.2595","0.1746","0.1875","0.3956","0.3333","NULL","NULL","0.5676","0.2746","9885","1"
"208","109651"," 111600"," 1116","Art Center College of Design","Pasadena","CA","91103","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artcenter.edu","www.artcenter.edu/accd/admissions/financial_aid/net_price_calculator.jsp","0.2001","0.0116","0.1097","0.3484","0.0022","0.0033","0.0436","0.2696","0.0116","0.5044","0.4956","22.983305509","57841.25533","30106.71518","0.6716","0.4375","0","0.8571","0.7931","NULL","NULL","NULL","0.6923","NULL","1814","3"
"217","110185"," 112300"," 1123","Brooks Institute","Ventura","CA","93001","Accrediting Council for Independent Colleges and Schools","www.brooks.edu","brooks.studentaidcalculator.com","0.2602","0.0313","0.0675","0.0241","0.0024","0.0024","0.0048","0","0.6072","0.4964","0.5036","23.598214286","55630.44764","30063.06867","0.5591","0.5455","0","0.6667","0.3333","NULL","NULL","0.3333","NULL","0.5909","415","3"
"225","110370"," 112700"," 1127","California College of the Arts","San Francisco","CA","94107-2247","Western Association of Schools and Colleges Senior Colleges and University Commission","www.cca.edu","www.cca.edu/admissions/financialaid/calculator","0.2917","0.039","0.1349","0.162","0.0033","0.0119","0","0.2725","0.0847","0.381","0.619","22.161616162","58577.59258","36619.2725","0.5425","0.4911","0.4","0.7143","0.5349","0.5","1","NULL","0.6923","0.4545","1512","1"
"258","111081"," 113200"," 1132","California Institute of the Arts","Valencia","CA","91355-2397","Western Association of Schools and Colleges Senior Colleges and University Commission","www.calarts.edu","calarts.edu/financial-aid/net-price-calculator","0.3975","0.0698","0.1353","0.129","0.0042","0.0085","0.0751","0.0951","0.0856","0.4271","0.5729","21.303206997","69923.7803","49726.79883","0.7018","0.6667","0.5833","0.5882","1","0.6667","NULL","1","0.9231","0.5","946","3"
"293","112570","2110200","21102","Columbia College-Hollywood","Tarzana","CA","91356-1411","Western Association of Schools and Colleges Senior Colleges and University Commission","www.columbiacollege.edu","www.columbiacollege.edu/financial-aid/net-price-calculator","0.4365","0.1889","0.2085","0.0326","0","0","0.0554","0.0619","0.0163","0.5798","0.4202","23.839449541","45933.19148","29116.27108","0.4889","0.5833","0.3333","0.375","0","1","NULL","NULL","0.5","0","307","3"
"304","113537","3025600","30256","Dell'Arte International School of Physical Theatre","Blue Lake","CA","95525-0816","National Association of Schools of Theatre","www.dellarte.com/school","www.dellarte.com/school","0.5","0.0833","0.0833","0","0","0","0","0.3333","0","0.5833","0.4167","27.9","30131.69638","16841.47337","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24","1"
"306","113582","2298000","22980","Design Institute of San Diego","San Diego","CA","92121","Accrediting Council for Independent Colleges and Schools","www.disd.edu","https://disd.studentaidcalculator.com/survey.aspx","0.614","0.0526","0.1754","0.0702","0","0","0","0.0819","0.0058","0.0877","0.9123","24.916666667","43379.85999","27814.09371","0.3333","0.5","NULL","0","NULL","NULL","NULL","NULL","NULL","0","171","3"
"319","114354","1111200","11112","Fashion Institute of Design & Merchandising-Los Angeles","Los Angeles","CA","90015-1421","Western Association of Schools and Colleges Senior Colleges and University Commission","www.fidm.edu","https://npc.collegeboard.org/student/app/fidm","0.3533","0.0554","0.2253","0.1171","0.0035","0.0073","0.0306","0.1419","0.0656","0.1038","0.8962","21.526675203","66933.01644","43398.39599","0.6224","0.6509","0.4559","0.5738","0.6202","0.1429","0.5","0.3333","0.8333","0.6508","3142","3"
"357","116226","2520300","25203","Interior Designers Institute","Newport Beach","CA","92660","Accrediting Commission of Career Schools and Colleges","idi.edu","www.idi.edu/net-price-calculator.html","0.6601","0.0148","0.1527","0.1084","0.0049","0","0.0246","0.0296","0.0049","0.069","0.931","30.148148148","68639.40867","34240.35409","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","203","3"
"368","117113","2179947","21799","Argosy University-The Art Institute of California-San Diego","San Diego","CA","92108-4423","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artinstitutes.edu/san-diego/","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.0092","0.0037","0.3452","0.0061","0.0012","0.0012","0","0.0006","0.6328","0.5435","0.4565","29.893958794","24239.85626","15149.50454","0.491","0.4912","0.4444","0.5114","0.5405","0.5","NULL","NULL","NULL","0.4535","1634","3"
"370","117168","2330500","23305","Laguna College of Art and Design","Laguna Beach","CA","92651","Western Association of Schools and Colleges Senior Colleges and University Commission","www.lcad.edu","www.lcad.edu/netprice","0.4788","0.011","0.1621","0.1547","0.0092","0.0074","0","0.035","0.1418","0.3978","0.6022","22.168224299","68576.57452","46299.28584","0.4483","0.45","NULL","0.2222","0.48","NULL","NULL","NULL","0.5","1","543","3"
"392","117928","2179943","21799","Argosy University-The Art Institute of California-San Francisco","San Francisco","CA","94102-4908","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artinstitutes.edu/san-francisco/","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.1473","0.0703","0.2947","0.0922","0.0029","0.0133","0.076","0","0.3032","0.5361","0.4639","29.893958794","24239.85626","15149.50454","0.3678","0.2857","0.1667","0.68","1","0","NULL","NULL","0","0.3206","1052","1"
"426","119270","2161800","21618","Musicians Institute","Hollywood","CA","90028","National Association of Schools of Music","www.mi.edu","mi.edu/student-consumer-disclosure/net-price-calculator/","0.2939","0.0657","0.138","0.031","0.0103","0.0038","0.0601","0.3465","0.0507","0.7962","0.2038","23.956419317","48988.16072","24749.10302","0.4803","0.5307","0.2632","0.4421","0.3571","0.5","1","0","0.4966","0.525","1065","3"
"435","119775","3043900","30439","Newschool of Architecture and Design","San Diego","CA","92101","Western Association of Schools and Colleges Senior Colleges and University Commission","www.newschoolarch.edu","www.newschoolarch.edu/tuition-financialaid/netprice-calculator.htm","0.2528","0.0222","0.3778","0.0972","0","0","0.0389","0.1611","0.05","0.7306","0.2694","24.480916031","29606.96679","19511.0556","0.4","0.4","NULL","0.4286","0.3333","NULL","NULL","NULL","NULL","NULL","360","3"
"446","120403"," 125100"," 1251","Otis College of Art and Design","Los Angeles","CA","90045-3505","Western Association of Schools and Colleges Senior Colleges and University Commission","www.otis.edu","www.otis.edu/otis-net-price-calculator","0.2376","0.0385","0.1037","0.2945","0.0101","0.0037","0.0624","0.2101","0.0394","0.3284","0.6716","21.53002611","58069.65067","36571.45338","0.6311","0.56","0.625","0.5","0.7101","NULL","NULL","NULL","0.6829","0.6207","1090","3"
"463","121275","2304300","23043","Platt College-San Diego","San Diego","CA","92115-3919","Accrediting Commission of Career Schools and Colleges","www.platt.edu","www.platt.edu","0.3439","0.1083","0.2452","0.0955","0.0127","0","0.1019","0.0064","0.086","0.6783","0.3217","26.689655172","33743.93311","18553.06517","0.7037","0.6667","1","0.6667","0.6667","NULL","NULL","0.6667","NULL","0.8182","314","3"
"491","122454"," 394800"," 3948","San Francisco Art Institute","San Francisco","CA","94133-2299","Western Association of Schools and Colleges Senior Colleges and University Commission","www.sfai.edu","www.sfai.edu/admissions/tuition-and-financial-aid","0.4837","0.0196","0.1678","0.0392","0.0044","0.0044","0.0784","0.1786","0.024","0.4292","0.5708","23.480392157","59468.23161","34629.86583","0.3333","0.3611","0.3333","0.5","0.3333","0.3333","NULL","0","0","0","459","1"
"492","122506"," 127800"," 1278","San Francisco Conservatory of Music","San Francisco","CA","94102-6011","Western Association of Schools and Colleges Senior Colleges and University Commission","www.sfcm.edu","www.sfcm.edu/federal-and-state-aid.aspx","0.3353","0.0176","0.0765","0.1","0","0.0059","0.0941","0.2824","0.0882","0.5588","0.4412","20.391304348","63052.19002","41847.90435","0.5","0.3125","0","1","0.5556","NULL","NULL","0.5","0.7778","0.5","170","1"
"536","123952","2075800","20758","Southern California Institute of Architecture","Los Angeles","CA","90013-1822","Western Association of Schools and Colleges Senior Colleges and University Commission","www.sciarc.edu","www.sciarc.edu","0.2129","0.0228","0.1027","0.1863","0","0.0114","0.019","0.4411","0.0038","0.6502","0.3498","22.147058824","52509.47056","20172.77976","0.7241","0.6667","0","1","0.6667","NULL","NULL","NULL","0.875","NULL","263","3"
